,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
106,ERGP15225564,PROCUREMENT OF PHOTOCOPIER MACHINE,ONGOING,31500000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
107,ERGP15225585,PROCUREMENT OF DESKTOP COMPUTERS AND LAPTOPS,ONGOING,56000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
108,ERGP15225657,PROCUREMENT AUDIT,ONGOING,140000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
109,ERGP15225678,MONITORING AND SURVEILLANCE,ONGOING,140000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
110,ERGP15225729,POWER INFRASTRUCTURE,ONGOING,70000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
111,ERGP15225776,ELECTRONIC DOCUMENT STORAGE AND ARCHIVING SYSTEM,ONGOING,70000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
112,ERGP15225799,UPGRADE OF BPP WEBSITE,ONGOING,21000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
113,ERGP15225845,NIGERIA OPEN CONTRACTING PORTAL (NOCOPO) UPGRADE FOR E-PROCUREMENT SYSTEM.,ONGOING,35000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
114,ERGP15225889,BPP OPERATIONS WORKFLOW UPGRADE,ONGOING,35000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
115,ERGP15225932,SUPPLIER MARKET PRICE CHECKER PORTAL UPGRADE,ONGOING,35000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
116,ERGP15225971,PURCHASE OF MEDIA AUDIO VISUAL EQUIPMENT,ONGOING,21000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
117,ERGP27225524,CONSTRUCTION OF PORTA CABIN,ONGOING,70000000.0,111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),
118,ERGP10201638,ALTERNATIVE POWER GENERATION - SOLAR,ONGOING,92750000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
119,ERGP15201669,RESEARCH STUDY ON ANTI-CORRUPTION PROGRAM,ONGOING,94478896.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
120,ERGP15234849,TRAINING AND CAPACITY BUILDING FOR SENATE PUBLIC ACCOUNTS COMMITTEE,ONGOING,45069492.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
121,ERGP2168035,OIL AND GAS INDUSTRY AUDIT PROJECT,ONGOING,136954169.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
122,ERGP27195103,PURCHASE OF FURNITURE AND FITTINGS FOR NEWLY ACQUIRED OFFICE BUILDING,ONGOING,78274789.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
123,ERGP27228669,NEITI HOUSE AND PREMISES IMPROVEMENT,ONGOING,122888875.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
124,ERGP29188507,FISCAL ALLOCATION AND STATUTORY DISBURSEMENT AUDIT PROJECT,ONGOING,84393060.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
125,ERGP29195100,PURCHASE AND UPGRADE OF ICT EQUIPMENTS AND SOFTWARE,ONGOING,67200000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
126,ERGP29195101,PURCHASE OF COMMUNICATION EQUIPMENT,ONGOING,67264917.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
