code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP30237891,"PROVISION AND SUPPLY OF GRAINS IN SABON GARIN NARABA, TORO LGA, BACHI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4823,51.77
ERGP30237892,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN SABON GARIN NARABA, TORO LGA, BACHI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.3091,69.09
ERGP30237900,"PROVISION OF SOLAR STREET LIGHTS TO COMMUNITIES IN NUNKU AND UNGWAN MALLAM IN AKWANGA LGA, NASARAWA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.3677,63.23
ERGP30237904,"INSTALLATION OF SOLAR STREET LIGHTS IN AKPAMKA/BIASE FEDERAL CONSTITUENCY, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,280000000.0,0.4154,58.46
ERGP30237907,CONSTRUCTION OF ROAD DRAINAGES AND SOLAR STREET LIGHT FROM FISH SELLERSÃ¢â¬â¢ MARKET (YAN KIFI) TO THE END OF THE STREET AND FROM,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,525000000.0,0.2747,72.53
ERGP30237911,"PROVISION OF SOLAR STREETLIGHTS IN KOFAR MANUSA IN KATSINA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.3818,61.82
ERGP30237915,"SUPPLIES OF GRAINS TO SELECTED STATES IN THE FEDERATION
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,3150000000.0,0.3504,64.96
ERGP30237921,SUPPLY AND DISTRIBUTION OF 70 HORSE POWER TRACTORS LIGHT DUTY TRACTORS IMPLEMENT AND LIGHT DUTY TRACTOR TRUCKS TO ENHANCE AGRICULTURAL,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,1470000000.0,0.2167,78.33
ERGP30237924,CONSTRUCTION OF SURFACE DRESSING AT BIYAK TO KADARKO PRIMARY SCHOOL PLATEAU STATE (DEPT.OF RURAL DEVELOPMENT,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.3927,60.73
ERGP30237931,"CONSTRUCTION OF RURAL ACCESS ROAD MAJE-KAUDU ROAD IN BAGUDU/SURU FEDERAL CONSTITUENCY, KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,700000000.0,0.5311,46.89
ERGP30237942,"SUPPLY OF FOOD ITEMS TO CURB FOOD INSECURITY IN AKPABUYO LOCAL GOVERNMENT, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.5572,44.28
ERGP30237948,"SUPPLY OF FOOD ITEMS TO CURB FOOD INSECURITY IN CALABAR SOUTH LGA, CROSS RIVER STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.5529,44.71
